section_id,pavement_age_years,aadt,heavy_vehicle_percentage,pavement_thickness_mm,number_of_lanes,subgrade_cbr,annual_rainfall_mm,mean_temperature_c,years_since_last_maintenance,distress_density,pci
1001,11.24,4305.38,10.0,386.38,1,10.0,934.92,9.49,2.18,14.55,70.21
1002,28.52,11815.58,11.66,321.76,1,2.51,651.52,8.12,0.5,8.19,17.52
1003,21.96,36520.16,10.18,204.23,1,7.24,1028.86,8.71,7.05,25.45,18.3
1004,17.96,23773.72,18.55,251.91,1,10.44,1295.29,8.03,14.32,13.92,13.71
1005,4.68,28985.45,8.63,246.68,4,,542.66,23.29,1.74,4.36,66.48
1006,4.68,5383.14,10.81,,4,10.3,1034.99,10.89,4.68,7.62,63.02
1007,1.74,3671.36,17.78,184.17,3,6.17,1093.22,12.54,1.74,10.15,60.45
1008,25.99,7327.36,15.89,210.75,3,3.22,712.77,10.21,,4.23,4.52
1009,18.03,8472.49,17.94,107.46,2,7.55,764.86,33.74,9.68,5.65,15.86
1010,,19445.15,5.38,253.32,4,3.67,1092.24,30.64,12.4,17.87,1.62
1011,0.62,2092.32,13.56,232.56,1,14.32,546.63,11.91,0.62,14.24,83.54
1012,29.1,27546.76,15.0,132.9,1,8.18,1139.97,14.83,7.57,6.81,0.0
1013,24.97,35704.49,12.62,,2,6.12,641.86,11.3,10.46,8.32,19.31
1014,6.37,5758.86,18.69,300.11,1,11.96,,19.76,6.37,9.27,51.18
1015,5.45,3605.86,20.75,265.89,2,8.47,1935.13,5.59,5.45,12.47,66.44
1016,5.5,2156.23,4.79,227.32,3,6.03,655.7,25.14,1.08,13.12,57.91
1017,9.13,15654.86,6.72,291.4,4,12.56,1213.68,20.69,9.13,,47.21
1018,15.74,8592.58,22.66,297.62,2,13.27,709.3,31.96,8.01,5.96,31.18
1019,12.96,2887.17,,271.52,1,10.75,1416.38,9.93,,9.05,48.49
1020,8.74,2875.37,1.78,192.28,2,2.61,493.9,29.12,5.1,16.58,53.97
1021,18.36,6194.22,,269.36,3,9.36,1192.23,28.76,9.31,32.23,19.23
1022,4.18,30798.38,12.12,333.68,1,11.92,650.8,8.82,4.18,8.86,61.92
1023,8.76,6583.53,14.28,208.24,3,3.77,,16.96,7.44,5.31,37.72
1024,10.99,2434.47,5.97,396.86,3,4.97,587.59,10.1,10.99,4.16,57.47
1025,13.68,6656.88,11.19,213.21,2,13.47,1328.94,12.64,6.03,12.94,36.54
1026,23.56,6514.73,4.83,252.27,3,2.26,665.21,12.9,1.54,1.78,31.5
