section_id,pavement_age_years,aadt,heavy_vehicle_percentage,pavement_thickness_mm,number_of_lanes,subgrade_cbr,annual_rainfall_mm,mean_temperature_c,years_since_last_maintenance,distress_density,pci,traffic_load_index,maintenance_gap,log_aadt
1001,11.24,4305.38,10.0,386.38,1,10.0,934.92,9.49,2.18,14.55,70.21,430.538,2.18,8.367852922985545
1002,28.52,11815.58,11.66,321.76,1,2.51,651.52,8.12,0.5,8.19,17.52,1377.696628,0.5,9.377258908991642
1003,21.96,27167.33,10.18,204.23,1,7.24,1028.86,8.71,7.05,25.45,18.3,2765.634194,7.05,10.209807235680413
1004,17.96,23773.72,18.55,251.91,1,10.44,1295.29,8.03,14.32,13.92,13.71,4410.02506,14.32,10.076378110267479
1005,4.68,27167.33,8.63,246.68,4,8.41,542.66,23.29,1.74,4.36,66.48,2344.540579,1.74,10.209807235680413
1006,4.68,5383.14,10.81,252.27,4,10.3,1034.99,10.89,4.68,7.62,63.02,581.9174340000001,4.68,8.591212873958261
1007,1.74,3671.36,17.78,184.17,3,6.17,1093.22,12.54,1.74,10.15,60.45,652.7678080000001,1.74,8.208589786150538
1008,25.99,7327.36,15.89,210.75,3,3.22,712.77,10.21,5.45,4.23,4.52,1164.317504,5.45,8.899507031784847
1009,18.03,8472.49,17.94,107.46,2,7.55,764.86,33.74,9.68,5.65,15.86,1519.964706,9.68,9.044697745282852
1010,15.33,19445.15,5.38,253.32,4,3.67,1092.24,30.64,12.4,17.87,1.62,1046.1490700000002,12.4,9.875404386008473
1011,0.62,2092.32,13.56,232.56,1,14.32,546.63,11.91,0.62,14.24,83.54,283.718592,0.62,7.646506601347098
1012,29.1,27167.33,15.0,132.9,1,8.18,1139.97,14.83,7.57,6.81,0.0,4075.0995000000003,7.57,10.209807235680413
1013,24.97,27167.33,12.62,252.27,2,6.12,641.86,11.3,10.46,8.32,19.31,3428.5170459999995,10.46,10.209807235680413
1014,6.37,5758.86,18.69,300.11,1,11.96,964.875,19.76,6.37,9.27,51.18,1076.330934,6.37,8.658668447838997
1015,5.45,3605.86,20.75,265.89,2,8.47,1935.13,5.59,5.45,12.47,66.44,748.21595,5.45,8.190592866731926
1016,5.5,2156.23,4.79,227.32,3,6.03,655.7,25.14,1.08,13.12,57.91,103.283417,1.08,7.676580270282745
1017,9.13,15654.86,6.72,291.4,4,12.56,1213.68,20.69,9.13,8.75,47.21,1052.006592,9.13,9.658600566777372
1018,15.74,8592.58,22.66,297.62,2,13.27,709.3,31.96,8.01,5.96,31.18,1947.078628,8.01,9.058770691835138
1019,12.96,2887.17,10.69,271.52,1,10.75,1416.38,9.93,5.45,9.05,48.49,308.638473,5.45,7.968378362546212
1020,8.74,2875.37,1.78,192.28,2,2.61,493.9,29.12,5.1,16.58,53.97,51.181585999999996,5.1,7.964284361470153
1021,18.36,6194.22,10.69,269.36,3,9.36,1192.23,28.76,9.31,25.95125,19.23,662.162118,9.31,8.731533305942778
1022,4.18,27167.33,12.12,333.68,1,11.92,650.8,8.82,4.18,8.86,61.92,3292.6803959999997,4.18,10.209807235680413
1023,8.76,6583.53,14.28,208.24,3,3.77,964.875,16.96,7.44,5.31,37.72,940.1280839999998,7.44,8.792478237294501
1024,10.99,2434.47,5.97,396.86,3,4.97,587.59,10.1,10.99,4.16,57.47,145.33785899999998,10.99,7.797895035371512
1025,13.68,6656.88,11.19,213.21,2,13.47,1328.94,12.64,6.03,12.94,36.54,744.904872,6.03,8.803556394542086
1026,23.56,6514.73,4.83,252.27,3,2.26,665.21,12.9,1.54,1.78,31.5,314.661459,1.54,8.781974532399333
1027,5.99,936.82,10.47,202.93,1,11.79,1220.79,21.69,0.92,13.04,63.93,98.085054,0.92,6.843558032936929
1028,15.43,7758.65,2.51,265.63,3,8.16,862.36,17.34,0.77,13.2,46.9,194.74211499999998,0.77,8.956692509067306
1029,17.77,6736.21,13.01,128.04,3,7.81,954.21,33.43,5.7,5.47,19.45,876.380921,5.7,8.815401171619277
1030,1.39,14142.86,15.28,211.78,2,2.09,1059.1,8.79,1.39,9.98,66.78,2161.029008,1.39,9.557035886638392
1031,18.23,27167.33,20.34,252.27,3,12.65,695.27,34.21,10.77,6.99,10.46,5525.834922,10.77,10.209807235680413
1032,5.12,19955.34,14.48,259.47,4,6.68,1084.15,11.92,5.12,2.35,57.61,2889.533232,5.12,9.901302166318253
1033,1.95,6534.75,16.06,319.61,2,9.03,1612.13,28.19,0.76,12.37,52.92,1049.48085,0.76,8.785042386114299
1034,28.47,3343.52,5.79,295.22,2,10.8,688.76,15.17,3.32,11.58,23.73,193.589808,3.32,8.115078464507693
1035,28.97,27167.33,5.94,100.0,1,8.41,1468.72,9.29,4.11,5.84,7.89,1613.7394020000002,4.11,10.209807235680413
1036,24.25,8496.2,10.69,392.94,1,14.43,1599.24,30.74,8.21,25.95125,7.18,908.24378,8.21,9.047491976445729
1037,9.14,8193.89,10.66,270.67,1,8.91,673.54,14.27,2.17,8.37,62.1,873.468674,2.17,9.011266068269052
1038,2.93,7948.19,8.07,195.65,1,7.2,417.98,24.77,2.01,1.19,66.81,641.418933,2.01,8.980825315665113
1039,20.53,9494.5,10.69,261.0,4,14.4,1120.78,21.99,5.45,17.18,12.02,1014.96205,5.45,9.1585732811543
1040,13.2,7219.29,0.5,252.27,2,10.35,781.04,19.15,12.06,14.53,40.1,36.09645,12.06,8.884650397285217
1041,3.66,5120.82,9.2,203.32,3,5.88,1747.44,19.87,2.71,15.74,51.67,471.11544,2.71,8.541265123619505
1042,14.86,5231.81,3.57,263.85,1,3.64,1013.92,26.97,6.1,3.45,31.32,186.77561699999998,6.1,8.562703697667956
1043,1.03,7893.52,21.75,207.48,1,12.95,679.12,7.63,1.03,9.78,73.59,1716.8406,1.03,8.97392412686807
1044,27.28,5246.2,13.52,221.69,1,6.71,541.14,25.05,11.87,8.27,0.0,709.2862399999999,11.87,8.565449879979525
1045,7.76,4581.23,8.84,201.96,3,8.41,1435.96,31.87,7.65,7.26,31.95,404.98073199999993,7.65,8.42994105817442
1046,19.88,8823.24,4.89,149.71,1,8.12,771.53,6.73,1.92,20.3,31.86,431.456436,1.92,9.085257759112876
1047,9.35,6607.88,13.09,260.21,3,4.59,1017.53,9.22,9.35,8.46,48.91,864.9714919999999,9.35,8.796169478247055
1048,15.6,26989.26,4.0,290.97,2,9.82,1382.32,26.5,5.95,6.01,30.8,1079.5704,5.95,10.203231339163132
1049,16.4,971.87,13.5,286.04,2,2.79,806.3,18.12,3.94,5.96,35.27,131.20245,3.94,6.880250465859947
1050,5.55,19403.44,23.31,307.39,2,7.37,981.63,17.11,5.55,3.21,51.39,4522.941863999999,5.55,9.873257184844977
1051,29.09,21957.59,21.96,272.7,4,9.11,993.37,9.11,7.47,9.1,7.14,4821.886764000001,7.47,9.996913685911794
1052,23.25,1542.7,5.78,212.71,3,7.67,964.875,20.2,5.15,21.36,17.48,89.16806000000001,5.15,7.3419374111877955
1053,28.18,6160.11,21.59,308.78,1,11.73,1236.3,8.8,3.63,6.42,11.65,1329.967749,3.63,8.726012235099626
1054,26.84,6020.03,1.96,154.97,1,12.76,911.95,19.3,5.98,10.19,25.12,117.992588,5.98,8.70301362001307
1055,17.94,2628.03,9.08,186.95,1,12.03,1025.46,27.91,0.29,7.17,36.3,238.62512400000003,0.29,7.874370235847733
1056,27.66,4349.2,6.03,182.51,1,2.5,851.29,12.75,11.59,7.79,0.0,262.25676,11.59,8.377977100037313
1057,2.65,8562.29,1.59,325.6,4,4.52,408.96,19.42,2.56,14.98,77.12,136.14041100000003,2.56,9.055239741088256
1058,5.88,27167.33,16.8,316.0,1,8.98,1103.04,34.76,0.66,3.17,50.02,4564.111440000001,0.66,10.209807235680413
1059,1.36,17129.25,18.81,284.11,4,14.15,1756.88,25.6,5.45,1.97,52.69,3222.011925,5.45,9.748601185490713
1060,9.76,22409.59,18.37,325.04,3,12.85,646.51,30.24,9.76,17.2,43.11,4116.641683,9.76,10.01728889398076
1061,11.66,14433.94,11.71,188.45,2,12.95,690.79,17.45,11.66,8.75,44.41,1690.2143740000001,11.66,9.57740693552449
1062,8.14,3283.81,13.01,274.4,1,5.94,651.71,28.04,7.4,6.07,49.61,427.223681,7.4,8.097064090585413
1063,24.86,8562.29,24.33,241.24,2,7.58,1289.84,6.22,3.08,25.95125,7.17,2083.2051570000003,3.08,9.055239741088256
1064,10.7,11986.06,9.12,309.28,3,8.12,1179.39,8.69,10.7,14.46,46.96,1093.1286719999998,10.7,9.391583013617113
1065,8.43,3048.17,13.14,241.93,3,4.05,936.58,11.09,8.43,3.91,52.72,400.52953800000006,8.43,8.022624701419517
1066,16.28,14334.13,7.56,223.05,1,2.4,632.79,17.06,3.69,18.02,31.43,1083.660228,3.69,9.57046844698929
1067,4.23,6685.79,19.04,287.86,3,14.31,1036.95,30.37,4.23,14.7,54.94,1272.9744159999998,4.23,8.807889217343718
1068,24.07,6003.77,18.48,311.33,2,5.13,374.15,15.39,1.57,0.12,37.45,1109.496696,1.57,8.70030943236508
1069,15.33,14310.77,13.42,203.22,1,5.12,1057.37,24.64,2.24,9.35,54.0,1920.505334,2.24,9.568837554629017
1070,29.61,11561.21,11.65,252.27,4,3.08,1348.61,26.28,12.9,3.32,0.0,1346.880965,12.9,9.355497300425064
1071,23.17,6070.69,12.04,252.27,1,14.07,499.52,22.59,10.32,7.78,20.33,730.9110759999999,10.32,8.71139226375372
1072,5.96,20485.32,13.09,100.0,2,9.54,386.99,15.72,5.96,25.95125,52.38,2681.5283879999997,5.96,9.927512625298187
1073,0.17,3412.33,2.71,264.03,1,10.67,1631.78,22.31,0.17,15.43,73.79,92.474143,0.17,8.135443633362412
1074,24.46,13263.2,13.31,292.62,1,13.85,755.3,15.27,2.86,16.88,17.04,1765.33192,2.86,9.492823955669119
1075,21.21,13023.11,22.76,268.34,2,6.49,1454.38,7.52,6.63,7.18,17.94,2964.0598360000004,6.63,9.4745575341526
1076,21.87,6325.62,6.75,113.53,1,10.08,938.4,34.78,1.07,16.93,23.01,426.97935,1.07,8.752521407283147
1077,23.14,10518.66,12.94,225.44,1,2.5,935.22,8.82,5.84,4.49,19.98,1361.1146039999999,5.84,9.261001166377783
1078,2.22,2978.3,10.38,100.0,2,4.43,1175.37,7.17,2.22,9.26,61.02,309.14754000000005,2.22,7.999443652577423
1079,10.75,16970.33,10.69,345.88,3,12.81,646.4,31.36,5.8,14.94,55.88,1814.128277,5.8,9.739280728757693
1080,3.48,6988.9,17.82,173.98,2,11.97,1053.0,14.06,3.48,14.62,65.79,1245.4219799999998,3.48,8.852221528973876
1081,25.89,5333.81,7.7,337.88,1,8.41,847.4,24.51,8.93,2.11,13.43,410.70337,8.93,8.582008549231
1082,18.7,18754.84,16.86,316.21,4,6.9,471.8,14.87,13.08,25.95125,24.27,3162.066024,13.08,9.83926044956955
1083,9.93,8562.29,12.59,186.96,4,8.94,1134.99,16.74,0.71,3.76,61.14,1077.9923110000002,0.71,9.055239741088256
